# Generated by tools/dictgen — do not edit by hand.
# Language: Indonesian (id)
# Format: word|band|from|pos — what each word is. What it means is in
# gloss.<language>.txt, joined to this file on the headword.
#
# The band column is empty for any word ranks.txt ranks: the band is computed
# from the rank there. It is filled only for words the corpus never ranked.
yang|||
dan|||
di|||
ke|||
dari|||
ini|||
itu|||pron.;part.
dengan|||
untuk|||
diperuntukkan||untuk|v.
pada|||
kepada||pada|
oleh|||
adalah||ada|
ada|||
tidak|||
bukan|||
bukankan|||
ya|||
iya|||
mengiyakan||iya|v.
saya|||
aku|||
kamu|||
anda|||
dia|||
ia|||
kami|||
kita|||
mereka|||
kalian|||
orang|||
apa|||pron.;part.;conj.
apa-apa|||pron.;interj.
apakan||apa|v.
siapa|||
siapa-siapa|||pron.
mana|||
mana-mana|||adv.
bagaimana|||
mengapa||apa|
kenapa||napa|
kapan|||
kapan-kapan|||adv.
berapa||apa|
satu|||
satu-satu|||adv.
menyatu||satu|v.
satukan||satu|v.
disatukan||satu|v.
dua|||
tiga|||
sepertiga||tiga|
pertiga||tiga|
empat|||
seperempat||empat|
perempat||empat|
seperlima||lima|
sepersepuluh||sepuluh|
lima|||
enam|||
tujuh|||
delapan|||
sembilan|||
sepuluh||puluh|
belas|||
puluh|||
ratus|||
peratus||ratus|
ribu|||
juta|||
nol|||
setengah||tengah|
hari|||
minggu|||
bulan|||
tahun|||
jam|||
menit|||
detik|||
waktu|||n.;conj.
saat|||n.;conj.
sekarang|||
nanti|||
tadi|||
besok|||
kemarin|||
dulu|||
dahulu|||
sudah|||
sudahi||sudah|v.
sudahkan|||
berkesudahan||sudah|
telah|||
belum|||
sedang|||adv.;adj.
masih|||
akan|||
baru|||adj.;adv.;adv.
baru-baru|||adv.
lagi|||
pernah|||
sering|||adv.
selalu|||
jarang|||
kadang|||
segera|||
bisa|||
dapat|||aux.;v.
boleh|||
harus|||
perlu|||
mau|||v.;aux.
ingin|||
suka|||v.;adv.
tahu|||v.;n.
kenal|||
paham|||
mengerti||ngerti|
arti|||
juga|||
hanya|||
saja|||
sangat|||
sekali||kali|
sekali-sekali|||adv.
sama sekali|||
amat|||
amati||amat|v.
diamati||amat|v.
terlalu|||
cukup|||adj.;adv.
memadai|||adj.
kurang|||adv.;adj.;adv.
lebih|||
melebih||lebih|v.
melebihkan||lebih|v.
berlebihan||lebih|adj.
berlebih||lebih|adj.
paling|||
memalingkan||paling|v.
palingkan||paling|v.
banyak|||adj.
sedikit||dikit|
semua|||
seluruh|||
setiap||tiap|
tiap|||
beberapa||berapa|
masing|||
lain|||
lain-lain|||n.;n.
sama|||adj.;prep.;pron.;prep.;prep.
sama-sama|||interj.;adv.
menyamakan||sama|v.
menyamai||sama|v.
samakan||sama|v.
disamakan||sama|v.
beda|||
seperti|||
sebagai|||
bahwa|||
kalau|||
kalau-kalau|||conj.;conj.
jika|||
andai|||
seandainya||andai|
andaikan||andai|v.
karena|||
sebab|||n.;conj.
gara-gara|||prep.
jadi|||conj.;v.;v.
maka|||
tetapi|||
tapi|||
namun|||
atau|||
serta|||
disertai||serta|v.
menyertakan||serta|v.
sertakan||serta|v.
disertakan||serta|v.
sertai||serta|v.
berserta||serta|
agar|||
agar-agar|||n.
supaya|||
sehingga||hingga|
ketika|||
sementara|||conj.;adj.
sebelum||belum|
sesudah||sudah|
setelah||telah|
sejak|||
sampai|||prep.;v.;conj.
sampai-sampai|||conj.
hingga|||
tentang|||
antara|||
dalam|||prep.;adj.
luar|||
atas|||
bawah|||
depan|||n.;adj.
belakang|||
tengah|||
samping|||
dekat|||adj.
jauh|||adj.;adv.
sini|||
sinikan||sini|v.
situ|||
sana|||
mari|||
ayo|||
jangan|||
jangan-jangan|||adv.
jangankan|||
silakan|||
tolong|||interj.;v.
maaf|||
terima|||
kasih|||v.;n.
terima kasih|||
selamat|||adj.;interj.
nama|||
rumah|||
jalan|||n.;v.;v.
kota|||
negara|||
negeri|||
tempat|||
dunia|||
daerah|||
pergi|||
datang|||
pulang|||
masuk|||
keluar||luar|
naik|||
turun|||
duduk|||
diri|||
tidur|||
bangun|||
makan|||
minum|||
tenggak|||v.
menenggak||tenggak|v.
lihat|||
dengar|||
bicara|||
kata|||n.;v.
tanya|||
jawab|||
minta|||
pikir|||
rasa|||n.;v.
ingat|||
lupa|||
harap|||
tunggu|||
cari|||
temu|||
ambil|||
beri|||
bawa|||
kirim|||
taruh|||
letak|||n.;v.
buka|||
tutup|||
mulai||mula|
selesai|||
habis|||
terus|||v.;adv.;adv.;conj.;adv.
lanjut|||
henti|||
coba|||
coba-coba|||v.;v.
pakai|||
guna|||
buat|||v.;prep.
bikin|||
kerja|||n.;v.
main|||
main-main|||v.;adj.
ajar|||
baca|||
tulis|||
hitung|||
beli|||
jual|||
bayar|||
uang|||
harga|||
mahal|||adj.
murah|||adj.
gratis|||
baik|||adj.;interj.;adj.
baik-baik|||adj.;adv.
bagus|||adj.
buruk|||adj.
jelek|||adj.
benar|||
benar-benar|||adv.
betul|||
betul-betul|||adv.
salah|||adj.;n.
besar|||adj.
kecil|||adj.
panjang|||adj.
pendek|||adj.
tinggi|||adj.
rendah|||adj.
luas|||adj.
sempit|||adj.
berat|||
ringan|||adj.;adj.
tebal|||adj.
tipis|||adj.
cepat|||adj.;interj.
lambat|||adj.
pelan|||adj.;adj.
mudah|||adj.
gampang|||adj.
sulit|||adj.
susah|||adj.
sederhana|||adj.
rumit|||adj.
penting|||adj.
lama|||n.;adj.
lama-lama|||adv.;adv.
muda|||adj.
tua|||adj.;n.
cantik|||adj.
tampan|||adj.
ganteng|||adj.
indah|||adj.
bersih|||adj.
kotor|||adj.
panas|||adj.
dingin|||adj.
hangat|||adj.
sejuk|||adj.
kering|||
basah|||
penuh|||
kosong|||
kuat|||adj.
lemah|||adj.
keras|||adj.;adj.;adj.
lembut|||adj.
sehat|||adj.
sakit|||adj.;v.;n.
senang|||adj.
gembira|||adj.
bahagia|||adj.
sedih|||adj.
marah|||adj.
takut|||adj.
berani|||adj.;v.
malu|||adj.
bosan|||adj.
capek|||
lelah|||adj.
lapar|||adj.
haus|||adj.
kenyang|||
enak|||
lezat|||adj.
manis|||adj.
pahit|||adj.
asin|||adj.
asam|||adj.;n.
pedas|||adj.
gurih|||
anak|||
kanak-kanak|||n.;n.
ibu|||
bapak|||
ayah|||
kakak|||
adik|||
kakek|||
nenek|||
suami|||
istri|||
keluarga|||
saudara|||
teman|||
kawan|||
sahabat|||
tamu|||
tetangga|||
guru|||
murid|||
siswa|||
dokter|||
polisi|||
tentara|||
tani|||
dagang|||
air|||
api|||
tanah|||
udara|||
angin|||
hujan|||
awan|||
langit|||
langit-langit|||n.;n.
matahari|||
bintang|||
bumi|||
laut|||
pantai|||
sungai|||
danau|||
gunung|||
bukit|||
hutan|||
belantara|||n.
pohon|||
daun|||
bunga|||
buah|||n.;cl.
akar|||
rumput|||
batu|||
