# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
i|eu (quem fala)|f1s
the|o, a, os, as (aquele já conhecido)|o
to|a, para (direção, dar a); (marca o infinitivo: to go, ir); a, até (de segunda a sexta)|v;v;v
a|um, uma (não um em particular)|o
's|de (posse); é, está; tem|o;f3s;f3s
it|ele, isso (algo já mencionado); (sujeito vazio: está chovendo, é tarde)|f3s;f3s
that|aquele, aquilo (aquele ali); que (introduz uma oração); tão (não é tão mau)|o;o;o
and|e|o
't|não (em don't, can't, isn't)|o
of|de, pertencente a; de (parte de um grupo: um de nós); de (feito de, que contém: uma xícara de chá); de, sobre (pensar em, uma história de)|o;o;o;o
is|ele/ela é, está|f3s
in|em, dentro de; em (um momento: em maio, em 2010, de manhã); daqui a (em dois dias); de, vestido com (de vestido vermelho); em casa, presente (ela está?)|o;o;o;o;o
what|o que, qual; o que (o que preciso é tempo); que (que dia!)|o;o;o
we|nós|f1p
me|me, mim|o
this|este, isto (o daqui); este (esta semana, esta manhã)|o;o
he|ele|f3s
do|fazer; (forma perguntas e negações: do you know?, você sabe?); do without: passar sem; do away with: abolir, acabar com|v;g;n;n
my|meu, minha|o
on|em, sobre, em cima de; em, no dia (uma data); sobre, a respeito de (um assunto); ligado, funcionando; continuando (seguir em frente); por, em (ao telefone, na TV)|o;o;o;o;o;o
your|seu, sua|o
was|eu era, estava; ele/ela era, estava|f1s;f3s
'm|eu sou, eu estou|f1s
know|saber (um fato); conhecer (uma pessoa)|v;v
not|não|o
be|ser, estar|v
are|nós somos, eles são; você é, está|f1p;f2s2p
don|(do not, em don't)|g
're|você é, está; nós somos, eles são|f2s2p;f1p
with|com; com (corte com uma faca); de, com (uma menina de cabelo ruivo); de (tremendo de medo); com, do lado de|o;o;o;o;o
but|mas, porém; exceto, menos (all but one)|o;o
all|todo, tudo; todo, completamente (sozinho); all right: tudo bem, ileso, está bem; all over: por toda parte, acabado; all along: desde o início|o;o;n;n;n
go|ir; go on: continuar, acontecer (what's going on: o que está acontecendo); go through: passar por, sofrer, examinar; go ahead: vá em frente, prosseguir; go off: explodir, disparar (um alarme), ir embora, estragar-se; go over: ir até, atravessar, revisar, examinar; go by: passar (o tempo, por um lugar), guiar-se por; go about: abordar, lidar com (uma tarefa); go along with: concordar com, aceitar; go wrong: dar errado, falhar|v;n;n;n;n;n;n;n;n;n
there|ali, lá (aquele lugar); there is: há, existe|o;n
here|aqui (este lugar)|o
like|como, parecido com; gostar de; como (cidades como Paris); como se (parece que vai chover)|o;v;o;o
they|eles, elas|f3p
'll|(marca o futuro)|o
she|ela|f3s
come|vir; come on: vamos!, anda!, por favor!; come up with: inventar, ter (uma ideia); come along: acompanhar, progredir, aparecer; come over: aproximar-se, vir visitar, (um sentimento) tomar conta; come across: encontrar por acaso, parecer; come by: passar por aqui, conseguir; come about: acontecer; come upon: deparar-se com; come round: visitar, mudar de ideia, recobrar os sentidos; come true: tornar-se realidade|v;n;n;n;n;n;n;n;n;n;n
if|se (com a condição de que); se (indireto, ex. não sei se)|o;o
want|querer|v
out|fora, para fora; fora, não em casa (ela saiu); apagado (as luzes se apagaram); em voz alta; completamente; out of: de, fora de (um em cada dez), sem (sem dinheiro), por (por medo)|o;o;o;o;o;n
about|sobre, a respeito de; cerca de, mais ou menos; about to: prestes a; por aí (andar por aí); what about / how about: que tal…?, e…?|o;o;n;o;n
up|para cima, em cima; de pé, acordado; acabado, esgotado (time's up); todo, completamente (comer tudo, encher); acontecendo (e aí?); (up to) até, cabe a (você decide), aprontando|o;o;o;o;o;o
at|em, a (um lugar); a, às (uma hora); para, em direção a (look at, throw at); em (em guerra, em risco); a (a 50 km/h); at all: de modo algum, nada; at least: pelo menos|o;o;o;o;o;n;n
him|o, lhe, ele|o
now|agora|o
oh|ah, oh (surpresa, ao se dar conta)|o
her|a, lhe, ela|o
how|como; que (que bom!); how come: como é que, por quê|o;o;n
think|pensar, achar; think over: pensar bem|v;n
yeah|é, sim|o
've|(have: I've seen, eu vi; you've gone, você foi)|g
got|conseguiu, passado de get; have got: ter; have got to: ter que (tenho que ir); got up: levantou-se; got out: saiu, escapou; got back: voltou; got rid of: livrou-se de; got over: superou; got away: escapou; got on: entrou, deu-se bem; got off: desceu; got through: superou, terminou, conseguiu falar; got used to: acostumou-se a|o;n;n;n;n;n;n;n;n;n;n;n;n
okay|okay, tudo bem|o
as|como, igual a; enquanto; como (trabalhar como professor); como, já que; as if / as though: como se; as for: quanto a|o;o;o;o;n;n
take|pegar, levar; take over: assumir o controle de; take on: assumir (trabalho, uma responsabilidade), contratar, enfrentar, adquirir (um ar); take off: tirar (roupa), decolar, ir embora; take out: tirar (do bolso, da bolsa), remover, levar para sair; take back: retirar (o que disse), devolver; take after: puxar a (um dos pais); take place: acontecer, ter lugar; take part: participar; take care of: cuidar de, tratar de; take advantage of: aproveitar, aproveitar-se de; take it easy: ir com calma, relaxar|v;n;n;n;n;n;n;n;n;n;n;n
good|bom, de qualidade; bom, bondoso, comportado; bom, agradável, gostoso; goods: mercadorias; for good: para sempre; no good: inútil, ruim|o;o;o;n;n;n
let|deixar, permitir; let down: decepcionar, baixar (a guarda); let go: soltar; let in: deixar entrar; let out: soltar (um suspiro, um grito), libertar; let alone: muito menos|v;n;n;n;n;n
did|forma passada de do|o
who|quem|o
tell|dizer, contar (algo a alguém)|v
why|por que|o
from|de, desde|o
his|dele|o
yes|sim|o
time|tempo; uma vez (uma ocasião); on time: na hora, pontualmente; in time: a tempo, com o tempo; at the same time: ao mesmo tempo, no entanto; from time to time: de vez em quando; all the time: o tempo todo; for the time being: por enquanto|o;o;n;n;n;n;n;n
make|fazer, criar; obrigar (a fazer); make up: inventar, formar, fazer as pazes, decidir-se; make up for: compensar; make out: distinguir, entender, dar uns amassos; make sure: certificar-se, garantir; make sense: fazer sentido; make fun of: zombar de; make the most of: aproveitar ao máximo|v;v;n;n;n;n;n;n;n
when|quando|o
going|indo; going to: prestes a; going on: acontecendo, continuando (what's going on: o que está acontecendo)|o;n;n
an|um, uma (antes de som de vogal)|o
man|homem; (interjeição) exprime surpresa|o;o
say|dizer|v
us|nos, nós|o
would|(marca o condicional: faria)|o
them|os, as, eles|o
where|onde|o
were|nós éramos, eles eram; você era, estava|f1p;f2s2p
then|então, depois disso; então, nesse caso|o;o
had|forma passada de have|o
or|ou|o
been|sido, estado|o
need|precisar|v
thing|coisa, assunto, questão; coisa, objeto|o;o
our|nosso|o
gonna|vai (informal de going to)|o
really|realmente, de verdade; muito, bem|o;o
thank|agradecer; thank you: obrigado; thanks: obrigado; thanks to: graças a|v;n;n;n
some|um pouco de, alguns; um, algum (um cara ligou); uns, cerca de (umas 20 pessoas)|o;o;o
hey|ei, oi (cumprimento; para chamar a atenção)|o
give|dar; give up: desistir, largar, entregar; give in: ceder, render-se; give away: dar, revelar (um segredo); give birth: dar à luz; give way: ceder, desabar, dar lugar a|v;n;n;n;n;n
'd|(would: I'd like, eu gostaria); (had: I'd gone, eu tinha ido); (did: where'd you go = aonde você foi?)|o;g;g
didn|(did not, em didn't)|g
mean|significar, querer dizer; mau, cruel; pretender, ter a intenção de; meio, maneira de fazer algo; by means of: por meio de|v;o;v;o;n
way|maneira, jeito; caminho, via; distância (a long way); by the way: a propósito, aliás; on the way / on my way: a caminho; in a way: de certa forma|o;o;o;n;n;n
something|algo, alguma coisa|o
has|ele/ela tem|f3s
little|pequeno; um pouco|o;o
too|também; demais (mais do que o necessário)|o;o
much|muito; at most: no máximo; make the most of: aproveitar ao máximo; for the most part: na maior parte|o;n;n;n
more|mais, maior quantidade ou número; mais (forma o comparativo, ex. more beautiful); more or less: mais ou menos|o;g;n
because|porque; because of: por causa de|o;n
talk|falar, conversar|v
love|amar; amor; in love: apaixonado; make love: fazer amor|v;o;n;n
down|para baixo, embaixo; ao longo de (down the street); triste, abatido; por escrito (anotar); em baixa (os preços caíram)|o;o;o;o;o
very|muito|o
never|nunca|o
call|ligar (por telefone); chamar (dar nome); uma ligação; call for: exigir, pedir; call on: visitar, apelar a; call off: cancelar; call back: ligar de volta|v;v;o;n;n;n;n
people|gente, pessoas; povo, nação|o;o
only|só, somente, apenas; único (an only child)|o;o
over|sobre, acima; terminado, acabado; para o outro lado, através; durante (over the weekend: durante o fim de semana); por, sobre (a fight over money: uma briga por dinheiro); over here / over there: aqui, lá|o;o;o;o;o;n
guy|cara, sujeito; (guys) pessoal, de qualquer sexo|o;o
day|dia, período de 24 horas; dia, de dia (não noite)|o;o
please|por favor (pedido educado)|o
should|deveria|o
said|forma passada de say|o
sorry|desculpe (ao se desculpar); sinto muito (ao lamentar)|o;o
off|fora, longe (de um lugar ou superfície); desligado; de folga (a day off); estragado (comida); cancelado (o casamento foi cancelado); de desconto (20% de desconto)|o;o;o;o;o;o
am|eu sou, estou|f1s
try|tentar|v
any|algum, qualquer; qualquer (a qualquer hora); nada (não está nada melhor)|o;o;o
two|dois|o
wait|esperar; can't wait / cannot wait: mal poder esperar|v;n
even|até mesmo (surpreendentemente); plano, nivelado; even though / even if: mesmo que, ainda que; even so: mesmo assim; ainda (ainda melhor)|o;o;n;n;o
life|vida|o
doing|fazendo|o
hello|olá|o
help|ajudar; ajuda; can't help / cannot help: não conseguir evitar|v;o;n
sure|certo, seguro; (interjeição) claro, sim; make sure: certificar-se; for sure: com certeza|o;o;n;n
year|ano|o
these|estes, estas|o
other|outro|o
happen|acontecer|v
first|primeiro, antes de todos; primeiro, antes de mais nada; at first: no início; first of all: antes de mais nada|o;o;n;n
into|para dentro de; interessado em, curtir (I'm into music)|o;o
keep|guardar, ficar com; continuar (fazendo); keep up: acompanhar, continuar; keep up with: acompanhar; keep on: continuar|v;v;n;n;n
find|encontrar, achar; find out: descobrir, saber|v;n
ask|perguntar (uma pergunta); pedir|v;v
still|ainda (até agora); parado, imóvel; mesmo assim, contudo|o;o;o
anything|qualquer coisa|o
hear|ouvir, escutar; hear of: ouvir falar de, admitir; hear from: ter notícias de|v;n;n
god|deus; oh God: exclamação de espanto|o;n
nothing|nada|o
sir|senhor (tratamento cortês a um homem)|o
put|pôr, colocar; put on: vestir, ligar, ganhar (peso), montar (um espetáculo); put up: levantar, construir, oferecer (resistência), hospedar; put up with: aguentar, tolerar; put out: apagar, incomodar; put off: adiar, desanimar; put down: pousar, anotar, reprimir, sacrificar (um animal), menosprezar; put away: guardar, prender; put together: montar, juntar|v;n;n;n;n;n;n;n;n
