# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
i|yo (quien habla)|f1s
the|el, la, los, las (el ya conocido)|o
to|a, hacia (dirección, dar a); (marca el infinitivo: to go, ir)|v;v
a|un, una (no uno en particular)|o
's|de (posesión); es, está; ha, tiene|o;f3s;f3s
it|lo, ello (algo ya mencionado)|f3s
that|ese, aquel (aquel de allá); que (introduce una oración)|o;o
and|y|o
of|de, perteneciente a|o
is|él/ella/eso es, está|f3s
in|en, dentro de|o
what|qué|o
we|nosotros|f1p
me|me, mí|o
this|este, esto (el de aquí)|o
he|él|f3s
do|hacer; (forma preguntas y negaciones: do you know?, ¿sabes?)|v;g
my|mi|o
on|en, encima de, sobre; el (un día o fecha); sobre, acerca de (un tema); encendido, en marcha|o;o;o;o
your|tu, su|o
was|yo era, estaba; él/ella/eso era, estaba|f1s;f3s
know|saber (un hecho); conocer (a una persona)|v;v
not|no|o
be|ser, estar|v
are|nosotros somos, ellos son; tú eres, estás|f1p;f2s2p
with|con|o
but|pero, sin embargo; menos, excepto (todos menos uno)|o;o
all|todo, todos|o
go|ir|v
there|ahí, allí (ese lugar); there is: hay, existe|o;n
here|aquí (este lugar)|o
like|como, parecido a; gustar|o;v
they|ellos, ellas|f3p
she|ella|f3s
come|venir|v
if|si (con la condición de que); si (en preguntas indirectas)|o;o
want|querer|v
out|afuera, fuera|o
about|sobre, acerca de; más o menos, aproximadamente; about to: a punto de|o;o;n
up|arriba, hacia arriba; levantado, despierto; terminado, acabado (se acabó el tiempo)|o;o;o
at|en (un lugar); a (una hora); a, hacia (mirar a, tirar a)|o;o;o
him|lo, le, él|o
now|ahora|o
oh|ah, oh (sorpresa, darse cuenta)|o
her|la, le, ella|o
how|cómo|o
think|pensar|v
yeah|sí|o
've|(have: I've seen, he visto; you've gone, te fuiste)|g
got|conseguido, pasado de get; have got: tener|o;n
okay|okey, está bien|o
as|como, igual que; mientras|o;o
take|tomar, agarrar|v
good|bueno, de calidad; bueno, amable, bien portado; agradable, bueno; goods: mercancías, productos|o;o;o;n
let|dejar, permitir|v
did|forma pasada de do|o
who|quién|o
tell|decir (algo a alguien)|v
why|por qué|o
from|de, desde|o
his|su (de él)|o
yes|sí|o
time|tiempo; una vez (una ocasión)|o;o
make|hacer, crear; obligar (a hacer)|v;v
when|cuándo, cuando|o
going|yendo; going to: a punto de|o;n
an|un, una (antes de sonido vocálico)|o
man|hombre; (interjección) expresa sorpresa|o;o
say|decir|v
us|nos, nosotros|o
would|(marca el condicional: haría)|o
them|los, las, ellos|o
where|dónde, donde|o
were|nosotros éramos, ellos eran; tú eras, estabas|f1p;f2s2p
then|entonces, después; entonces, en ese caso|o;o
had|forma pasada de have|o
or|o|o
been|sido, estado|o
need|necesitar|v
thing|cosa, asunto; cosa, objeto|o;o
our|nuestro|o
gonna|va a (informal)|o
really|realmente, de verdad; muy, bien|o;o
thank|agradecer; thank you: gracias; thanks: gracias; thanks to: gracias a|v;n;n;n
some|algo de, algunos|o
hey|oye, hey (saludo; para llamar la atención)|o
give|dar|v
'd|(would: I'd like, quisiera); (had: I'd gone, me había ido); (did: where'd you go = ¿adónde fuiste?)|o;g;g
mean|significar, querer decir; malo, cruel; querer, tener la intención de; medio, forma de hacer algo; by means of: por medio de|v;o;v;o;n
way|manera, modo; camino, vía; distancia, trecho (un largo camino)|o;o;o
something|algo|o
has|él/ella/eso tiene, ha|f3s
little|pequeño, chico; un poco|o;o
too|también; demasiado (más de lo necesario)|o;o
much|mucho|o
more|más, una cantidad mayor; más (forma comparativos: más bonito)|o;g
because|porque|o
talk|hablar, conversar|v
