# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
i|je (celui qui parle)|f1s
the|le, la, les (celui dont on a déjà parlé)|o
to|à, vers (direction, destinataire); (marque l'infinitif: to go, aller)|v;v
a|un, une (pas un en particulier)|o
's|est; a; de (appartenance)|f3s;f3s;o
it|il, elle, cela (une chose déjà mentionnée)|f3s
that|ce, cela (celui-là, là-bas); que (introduit une proposition)|o;o
and|et|o
't|ne... pas (dans don't, can't, isn't)|o
of|de, appartenant à|o
is|il/elle est|f3s
in|dans, à l'intérieur de|o
what|quoi, que, quel|o
we|nous|f1p
me|me, moi|o
this|ce, ceci (celui d'ici)|o
he|il|f3s
do|faire; (forme les questions et les négations: do you know?, sais-tu?)|v;g
for|pour|o
have|avoir; (forme le parfait: I have seen, j'ai vu)|v;g
my|mon, ma, mes|o
on|sur|o
your|ton, ta, votre|o
no|non, aucun|o
was|j'étais; il/elle était|f1s;f3s
'm|je suis|f1s
know|savoir (un fait); connaître (une personne)|v;v
not|ne... pas|o
be|être|v
are|tu es; nous sommes, ils sont|f2s2p;f1p
don|(do not, dans don't)|g
're|tu es; nous sommes, ils sont|f2s2p;f1p
can|pouvoir, savoir faire; (dans can't) ne pas pouvoir|o;o
with|avec|o
but|mais|o
all|tout, tous|o
go|aller|v
so|donc, alors; si, tellement (à ce point)|o;o
get|obtenir, recevoir; devenir|v;v
just|seulement, juste; à l'instant, il y a un instant|o;o
there|là, là-bas (cet endroit-là); (there is) il y a|o;o
here|ici (cet endroit-ci)|o
like|comme, semblable à; aimer bien|o;v
