# What each English phrase in `phrases.txt` means, in Indonesian.
#
# Format: pattern|gloss — joined to `phrases.txt` on the pattern. A pattern
# this file does not explain falls back to `phrases.en.txt`, so a translation
# in progress shows Indonesian where it has one and English elsewhere.
#
# Hand-written, like `phrases.txt` and `phrases.en.txt` — dictgen does not
# generate this file, it only carries it across into the manifest.
#
# Two rules, both inherited from the file this translates:
#
#   - The patterns on the left are the join key and must not change. A changed
#     pattern is a phrase the app stops finding; an invented one is a phrase it
#     hunts for and never finds.
#   - The sense count must match `phrases.en.txt`. `;` separates senses and
#     `,` joins near-synonyms inside one, exactly as in `gloss.id.txt`.
#
# Verbs are glossed as bare Indonesian verbs — the English `to` has no
# counterpart to carry across.

# ---- Separable phrasal verbs: the object may sit inside the verb.
give ? up|menyerah, berhenti berusaha; menyerahkan
pick ? up|mengangkat, menjemput; belajar tanpa diajari
put ? on|memakai, mengenakan (pakaian); meletakkan di atas
put ? off|menunda; membuat enggan, menghilangkan minat
put ? out|memadamkan (api, lampu); merepotkan
take ? off|melepas (pakaian); lepas landas
take ? over|mengambil alih
take ? back|menarik kembali (ucapan); mengembalikan (barang)
turn ? on|menyalakan, menghidupkan (mesin, lampu)
turn ? off|mematikan (mesin, lampu)
turn ? up|mengeraskan (suara); muncul, datang tanpa diduga
turn ? down|mengecilkan (suara); menolak (tawaran)
find ? out|mengetahui, mencari tahu
work ? out|memecahkan, menghitung; berakhir baik; berolahraga
figure ? out|memikirkan sampai paham, mencari tahu
sort ? out|membereskan, menyelesaikan
look ? up|mendongak, mengangkat pandangan; mencari (di buku atau daftar); membaik
make ? up|mengarang (cerita); berbaikan setelah bertengkar; riasan, kosmetik
bring ? up|membesarkan (anak); mengangkat, menyinggung (topik)
call ? off|membatalkan
call ? back|menelepon kembali
check ? out|melihat, memeriksa; keluar dari hotel
cut ? off|memutus, mengucilkan; memotong pembicaraan
fill ? in|mengisi (formulir); menggantikan seseorang
fill ? out|mengisi (formulir)
hand ? over|menyerahkan
hang ? up|menutup telepon
let ? down|mengecewakan
leave ? out|melewatkan, tidak menyertakan
pass ? on|meneruskan, menyampaikan kepada orang lain; menolak, melewatkan; meninggal dunia
point ? out|menunjukkan, menegaskan
put ? away|menyimpan kembali, membereskan; memenjarakan
put ? back|mengembalikan ke tempatnya; menunda
put ? together|merakit, menyusun
set ? up|mendirikan, mengatur; menjebak
