# What each English phrase in `phrases.txt` means, in French.
#
# Format: pattern|gloss — joined to `phrases.txt` on the pattern. A pattern
# this file does not explain falls back to `phrases.en.txt`, so a translation
# in progress shows French where it has one and English elsewhere.
#
# Hand-written, like `phrases.txt` and `phrases.en.txt` — dictgen does not
# generate this file, it only carries it across into the manifest.
#
# Two rules, both inherited from the file this translates:
#
#   - The patterns on the left are the join key and must not change. A changed
#     pattern is a phrase the app stops finding; an invented one is a phrase it
#     hunts for and never finds.
#   - The sense count must match `phrases.en.txt`. `;` separates senses and
#     `,` joins near-synonyms inside one, exactly as in `gloss.fr.txt`.
#
# Verbs are glossed as bare infinitives, without `à` or `de`. French has an
# infinitive where English has `to go`, so the phrase carries across as one word
# and needs no marker of its own.

# ---- Separable phrasal verbs: the object may sit inside the verb.
give ? up|renoncer, abandonner; remettre, livrer
pick ? up|ramasser, prendre; apprendre sur le tas
put ? on|mettre (un vêtement); poser sur
put ? off|reporter, remettre à plus tard; dégoûter quelqu'un
put ? out|éteindre (un feu, une lumière); déranger
take ? off|enlever (un vêtement); décoller
take ? over|prendre le contrôle de
take ? back|retirer (ses paroles); rapporter (une marchandise)
turn ? on|allumer (une machine, une lumière)
turn ? off|éteindre (une machine, une lumière)
turn ? up|monter (le volume); arriver, souvent à l'improviste
turn ? down|baisser (le volume); refuser (une offre)
find ? out|découvrir, apprendre
work ? out|résoudre, calculer; bien se terminer; s'entraîner
figure ? out|finir par comprendre à force d'y réfléchir
sort ? out|arranger, régler
look ? up|lever les yeux; chercher (dans un livre ou une liste); s'améliorer
make ? up|inventer (une histoire); se réconcilier; maquillage
bring ? up|élever (un enfant); aborder (un sujet)
call ? off|annuler
call ? back|rappeler au téléphone
check ? out|examiner, aller voir; quitter l'hôtel
cut ? off|couper, isoler; interrompre
fill ? in|remplir (un formulaire); remplacer quelqu'un
fill ? out|remplir (un formulaire)
hand ? over|remettre, céder à quelqu'un d'autre
hang ? up|raccrocher
let ? down|décevoir, laisser tomber quelqu'un
leave ? out|omettre
pass ? on|transmettre à quelqu'un d'autre; décliner; mourir
point ? out|signaler, faire remarquer
put ? away|ranger à sa place; mettre en prison
put ? back|remettre à sa place; retarder
put ? together|assembler, monter
set ? up|créer, organiser; monter un coup contre quelqu'un
show ? off|exhiber pour impressionner
shut ? up|se taire (impoli)
take ? in|comprendre, assimiler; tromper; héberger
take ? out|retirer, sortir; emmener quelque part
tell ? off|réprimander
think ? over|bien réfléchir à
throw ? away|jeter; gâcher (une occasion)
try ? on|essayer (un vêtement) pour voir s'il va
turn ? around|se retourner; redresser une situation en déclin
wake ? up|se réveiller, réveiller
write ? down|noter par écrit
knock ? out|assommer, mettre K.-O.; éliminer d'une compétition
break ? up|rompre, mettre fin à une relation; briser en morceaux
clear ? up|ranger; éclaircir, expliquer; (du temps) s'améliorer
hold ? up|lever, brandir; retarder; braquer, dévaliser; soutenir
keep ? up|maintenir, suivre le rythme de
let ? in|laisser entrer
let ? out|laisser échapper (un soupir, un cri), pousser; libérer, laisser sortir; élargir (un vêtement)
make ? out|distinguer à grand-peine; prétendre à tort
pay ? back|rembourser; se venger de
run ? over|accourir, faire un saut (chez quelqu'un); renverser avec un véhicule; déborder, dépasser le temps prévu

# ---- Inseparable phrasal verbs: nothing may come between the parts.
look for|chercher, essayer de trouver
look after|s'occuper de
look into|examiner, enquêter sur
look forward to|attendre avec impatience
get over|se remettre de
