# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
i|saya (yang berbicara)|f1s
the|(menandai benda yang sudah diketahui)|o
to|ke (arah, tujuan); (menandai kata kerja: to go = pergi)|v;v
a|sebuah, satu (bukan yang tertentu)|o
's|adalah; sudah (bentuk perfek); milik, -nya (kepunyaan)|f3s;f3s;o
it|itu, dia (benda yang sudah disebut)|f3s
that|itu (yang di sana); bahwa (menandai anak kalimat)|o;o
and|dan|o
't|tidak, bukan (dalam don't, can't, isn't)|o
of|dari, milik|o
is|dia adalah|f3s
in|di, di dalam|o
what|apa|o
we|kami, kita|f1p
me|saya, aku|o
this|ini (yang dekat saya)|o
he|dia (laki-laki)|f3s
do|melakukan; (membuat pertanyaan dan kalimat negatif: do you know?)|v;g
for|untuk (ditujukan bagi); selama (jangka waktu); karena, sebab; mendukung, memihak|o;o;o;o
my|saya, -ku|o
on|di, di atas; pada (hari atau tanggal); tentang, mengenai (suatu topik); menyala, hidup, berjalan|o;o;o;o
your|kamu, -mu|o
was|saya adalah (bentuk lampau); dia adalah (bentuk lampau)|f1s;f3s
'm|saya adalah|f1s
know|tahu (suatu fakta); kenal (seseorang)|v;v
not|tidak, bukan|o
be|adalah, menjadi|v
are|kamu adalah; kami/mereka adalah|f2s2p;f1p
don|(tidak, dalam don't)|g
're|kamu adalah; kami/mereka adalah|f2s2p;f1p
with|dengan|o
but|tetapi, tapi, namun; kecuali (semua kecuali satu)|o;o
all|semua, segalanya|o
go|pergi|v
so|jadi, maka; begitu (sedemikian)|o;o
just|hanya, saja; baru saja|o;o
there|di sana (tempat itu); there is: ada|o;n
here|di sini (tempat ini)|o
like|seperti, mirip; suka|o;v
they|mereka|f3p
'll|akan|o
she|dia (perempuan)|f3s
come|datang|v
if|jika, kalau (dengan syarat); apakah, entah|o;o
want|mau, ingin|v
out|keluar, di luar|o
about|tentang, mengenai; kira-kira, sekitar; about to: hampir, akan segera|o;o;n
up|ke atas, di atas; bangun, sudah bangun dari tidur; habis, selesai (waktunya habis)|o;o;o
at|di (suatu tempat); pada (suatu waktu); ke arah (melihat ke, melempar ke)|o;o;o
him|dia (laki-laki)|o
one|satu, angka 1; yang (yang merah); orang, seseorang (orang pada umumnya)|o;o;o
now|sekarang|o
oh|oh (kaget, baru sadar)|o
see|melihat; mengerti|v;v
her|dia (perempuan)|o
how|bagaimana|o
think|berpikir|v
yeah|ya|o
look|melihat; lihat! (perhatikan)|v;o
've|(sudah: I've seen, you've gone)|g
