# Spanish multi-word expressions. Hand-curated — not generated by dictgen.
#
# Format: pattern|gloss — one per line, `#` comments ignored.
#
# A pattern is a sequence of slots matched against consecutive tokens. Each
# slot matches a token's **root** or its normalised surface, so a pattern whose
# head inflects is written in the citation form (`tener que` catches `tengo
# que`, `tenía que`, `tendremos que`) and an invariant phrase is written just
# as it is read (`sin embargo`). `*` is a gap of up to four tokens, for
# constructions written around another word; Spanish needs none so far.
#
# These glosses are written by hand and are not derived from any licensed
# corpus. There is no frequency data behind them either — the rank list is
# unigram — which is why a phrase carries no band and never enters the band
# histogram. See NOTICE at the repo root.
#
# ## What belongs here
#
# Only phrases where the word-by-word reading misleads. `fin de semana` is not
# here: "end of week" already teaches it, and an underline over a phrase the
# reader can decode is noise that makes the ones that matter easier to ignore.
# Transparent multi-word prepositions (`antes de`, `cerca de`, `delante de`)
# are out for the same reason.
#
# Where a pattern has a live literal reading as well as its idiomatic one
# (`ir a` before a noun is plain motion; `tratar de` can mean "to be about"),
# the gloss carries both senses rather than the phrase being dropped. A gloss
# that shows the reader the choice is more use than silence.
# ---- Verbal periphrases: the head inflects, so the pattern is the infinitive.
tener que|to have to, must
hay que|one has to, it is necessary (impersonal)
acabar de|to have just (done something)
ir a|to be going to (+ infinitive); to go to
dejar de|to stop (doing something)
volver a|to do (something) again; to go back to
empezar a|to start to
ponerse a|to set about (doing something)
tratar de|to try to; to be about
estar de acuerdo|to agree
poner de pie|to stand (someone) up; ponerse de pie: to stand up

# ---- tener + noun: Spanish states where English uses "to be".
tener razón|to be right
tener ganas|(+ de) to feel like, to fancy
tener miedo|to be afraid
tener cuidado|to be careful
tener prisa|to be in a hurry
tener hambre|to be hungry
tener sueño|to be sleepy
tener suerte|to be lucky
tener sentido|to make sense
tener lugar|to take place

# ---- Other light-verb idioms.
hacer falta|to be needed, to be lacking
hacer caso|to pay attention, to take notice
hacer daño|to hurt, to do harm
dar igual|to make no difference, to not matter
dar miedo|to be frightening
dar cuenta|darse cuenta (de): to realize
dar a luz|to give birth
echar de menos|to miss (a person)
llevar a cabo|to carry out
valer la pena|to be worth it
llamar la atención|to attract attention; to tell off
caer bien|to like (a person), to get on with
tomar el pelo|to tease, to pull someone's leg
meter la pata|to put one's foot in it

# ---- Connectives and discourse markers.
sin embargo|however, nevertheless
por eso|that is why, so
así que|so, therefore
ya que|since, given that
puesto que|since, because
para que|so that
a menos que|unless
por lo tanto|therefore
o sea|I mean, in other words
es decir|that is to say
de hecho|in fact
en realidad|actually, in fact
por cierto|by the way
en fin|anyway, in short
de todos modos|anyway, in any case
de todas formas|anyway, in any case
por si acaso|just in case
sobre todo|above all, especially
además de|besides, as well as
por lo visto|apparently
más o menos|more or less
por lo menos|at least
al menos|at least

# ---- Question words and relatives written as two tokens.
por qué|why
para qué|what for
lo que|what, that which
por lo que|so, which is why
qué tal|how is it going?; how about

# ---- Modality and degree.
a lo mejor|maybe, perhaps
tal vez|maybe, perhaps
por supuesto|of course
desde luego|of course, certainly
claro que sí|of course (emphatic yes)
en serio|seriously, really
de verdad|really, truly
ni siquiera|not even
en absoluto|not at all (with a negative)
ya no|no longer, not anymore
todavía no|not yet
lo mismo|the same thing
de acuerdo|agreed, OK
a punto de|about to
cada vez más|more and more

# ---- Time and manner.
de repente|suddenly
de pronto|suddenly
a veces|sometimes
a menudo|often
de vez en cuando|from time to time
en cuanto|as soon as
en cuanto a|as for, regarding
a la vez|at the same time
de nuevo|again
otra vez|again
ahora mismo|right now
por ahora|for now
de momento|for now, for the time being
al principio|at first
al final|in the end
en punto|on the dot (of clock time)
a tiempo|on time, in time
hoy en día|nowadays
en seguida|right away
a lo largo de|along; throughout

# ---- Prepositional phrases whose parts do not give the meaning away.
a pesar de|in spite of, despite
a causa de|because of
gracias a|thanks to
a través de|through, across
a partir de|from (a point in time) onwards
en vez de|instead of
en lugar de|instead of
acerca de|about, concerning
en contra de|against, opposed to

# ---- Fixed dialogue.
por favor|please
de nada|you are welcome; for nothing, in vain
lo siento|I am sorry; (literally) I feel it
menos mal|thank goodness, just as well
no importa|it does not matter
qué pena|what a shame
ni modo|oh well, nothing to be done (Lat. Am.)
por dios|for God's sake, my God
buenos días|good morning
buenas tardes|good afternoon
buenas noches|good evening; good night
hasta luego|see you later
hasta mañana|see you tomorrow
