# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
i|I (the speaker)|f1s
the|the (one already known)|o
to|to (towards, giving to); to (marks a verb: to go)|v;v
a|a, one (not a particular one)|o
's|is; has; 's (belonging to)|f3s;f3s;o
it|it (a thing already mentioned)|f3s
that|that (that one, over there); that (introduces a clause)|o;o
and|and|o
't|not (in don't, can't, isn't)|o
of|of, belonging to|o
is|he/she/it is|f3s
in|in, inside|o
what|what|o
we|we|f1p
me|me|o
this|this (this one, near me)|o
he|he|f3s
do|to do; (makes questions and negatives: do you know?)|v;g
for|for|o
have|to have; (makes the perfect: I have seen); have to: must|v;g;n
my|my|o
on|on|o
your|your|o
no|no (refusing, disagreeing); no, not any|o;o
was|I was; he/she/it was|f1s;f3s
'm|I am|f1s
know|to know (a fact); to know (a person)|v;v
not|not|o
be|to be|v
are|you are; we/they are|f2s2p;f1p
don|(do not, in don't)|g
're|you are; we/they are|f2s2p;f1p
can|can, to be able to; (in can't) cannot; a can, a tin|o;o;o
with|with|o
but|but|o
all|all, everything|o
go|to go|v
so|so, therefore; so (to that degree)|o;o
get|to get, to obtain; to become; to arrive; to understand|v;v;v;v
just|just, only; just (a moment ago)|o;o
there|there (that place); there is: exists|o;n
here|here (this place)|o
like|like, similar to; to enjoy|o;v
they|they|f3p
'll|will|o
she|she|f3s
come|to come|v
if|if|o
right|right, correct; right (the side); (interjection) okay; a right, an entitlement|o;o;o;o
want|to want|v
out|out, outside|o
about|about, concerning; about, roughly|o;o
up|up|o
at|at|o
him|him|o
one|one|o
now|now|o
oh|oh (surprise, realisation)|o
see|to see; to understand|v;v
well|well (in a good way); well… (pausing); well, healthy; as well: also|o;o;o;n
her|her|o
how|how|o
think|to think|v
will|will (the future); will (determination); a will (document left at death)|o;o;o
yeah|yeah, yes|o
look|to look; look! (pay attention)|v;o
've|(have: I've seen, you've gone)|g
got|got, past of get; have got: to have|o;n
okay|okay, all right|o
as|as, like; as (while)|o;o
take|to take|v
good|good|o
let|to let, to allow|v
did|past form of do|o
who|who|o
tell|to tell (someone something)|v
why|why|o
from|from|o
his|his|o
yes|yes|o
time|time; a time (an occasion)|o;o
make|to make, to create; to force (to do)|v;v
when|when|o
going|going; going to: about to|o;n
an|a, one (before a vowel sound)|o
man|man; (interjection) expresses surprise|o;o
back|back (to where it was); back (of the body)|o;o
say|to say|v
us|us|o
would|would|o
them|them|o
where|where|o
were|you were; we/they were|f2s2p;f1p
then|then, after that; then, in that case|o;o
had|past form of have|o
or|or|o
been|been|o
need|to need|v
thing|thing|o
our|our|o
gonna|going to (informal)|o
really|really, truly; really (very)|o;o
thank|to thank; thank you: thanks|v;n
some|some|o
hey|hey (greeting; getting attention)|o
give|to give|v
could|could, was able to; could (a polite request)|o;o
'd|would (I'd like); (had: I'd gone)|o;g
didn|(did not, in didn't)|g
by|by (beside); by (done by); by (no later than); by (by means of)|o;o;o;o
mean|to mean, to signify; mean, unkind|v;o
way|way, road; way, manner|o;o
something|something|o
has|he/she/it has|f3s
little|little, small; a little, a bit|o;o
too|too, also; too (more than enough)|o;o
much|much, a lot|o
more|more|o
because|because|o
talk|to talk, to speak|v
love|to love; love|v;o
down|down|o
very|very|o
never|never|o
call|to call (by phone); to call (name); a call|v;v;o
people|people|o
only|only|o
over|over, above; over, finished|o;o
guy|guy, man; (guys) people, either sex|o;o
day|day|o
please|please (polite request)|o
should|should, ought to|o
